,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment
4,MLP,0.5087809917355371,0.47417490581722355,0.47129351222563143,0.46882161254538557,0.574677786201668,0.3679092382495948,0.6602787456445993,0.2880710659898477,0.6145115524929063,0.3231316725978648,0.46882161254538557,0.47129351222563143,0.47417490581722355,[8],[6],['FW'],['FP'],3
0,SVM,0.5175983436853002,0.515539775650921,0.5163360980887126,0.5105403936066109,0.5220338983050847,0.5106382978723404,0.6260162601626016,0.4050632911392405,0.5693160813308688,0.4517647058823529,0.5105403936066109,0.5163360980887126,0.515539775650921,[8],[9],['FW'],['FP'],3
1,RandomForest,0.4865424430641822,0.47456304619225964,0.47354850342589255,0.47242873753567527,0.5322033898305085,0.4148936170212766,0.5880149812734082,0.3611111111111111,0.5587188612099644,0.38613861386138615,0.47242873753567527,0.47354850342589255,0.47456304619225964,[8],[9],['FW'],['FP'],3
2,KNN,0.5010351966873706,0.4736803918011972,0.47383699963937975,0.47373965251436556,0.5966101694915255,0.35106382978723405,0.5906040268456376,0.3567567567567568,0.5935919055649241,0.353887399463807,0.47373965251436556,0.47383699963937975,0.4736803918011972,[8],[9],['FW'],['FP'],3
3,DecisionTree,0.4720496894409938,0.48446131397005177,0.48387125856473134,0.47051540541586245,0.43050847457627117,0.5372340425531915,0.5934579439252337,0.3754646840148699,0.4990176817288802,0.4420131291028446,0.47051540541586245,0.48387125856473134,0.48446131397005177,[8],[9],['FW'],['FP'],3
4,MLP,0.5590062111801242,0.5308441558441558,0.5299765596826542,0.5299946548250484,0.6610169491525424,0.39893617021276595,0.6331168831168831,0.42857142857142855,0.6467661691542289,0.4132231404958678,0.5299946548250484,0.5299765596826542,0.5308441558441558,[8],[9],['FW'],['FP'],3
0,SVM,0.4705263157894737,0.5098520612676469,0.5151315789473684,0.43965026953308683,0.4407894736842105,0.5894736842105263,0.8111380145278451,0.2085661080074488,0.5711849957374254,0.30811554332874824,0.43965026953308683,0.5151315789473684,0.5098520612676469,[8],[14],['FW'],['FP'],3
1,RandomForest,0.3989473684210526,0.5117133917975433,0.5157894736842106,0.3909292301197257,0.32105263157894737,0.7105263157894737,0.8160535117056856,0.2073732718894009,0.4608120868744098,0.3210463733650416,0.3909292301197257,0.5157894736842106,0.5117133917975433,[8],[14],['FW'],['FP'],3
2,KNN,0.6073684210526316,0.48651993630472823,0.4822368421052632,0.47795353661249523,0.6907894736842105,0.2736842105263158,0.7918552036199095,0.18118466898954705,0.7378777231201686,0.21802935010482183,0.47795353661249523,0.4822368421052632,0.48651993630472823,[8],[14],['FW'],['FP'],3
3,DecisionTree,0.45473684210526316,0.4982794842074761,0.49736842105263157,0.4250120349035572,0.4263157894736842,0.5684210526315789,0.7980295566502463,0.19852941176470587,0.5557461406518011,0.29427792915531337,0.4250120349035572,0.49736842105263157,0.4982794842074761,[8],[14],['FW'],['FP'],3
4,MLP,0.5684210526315789,0.5228556124487054,0.5348684210526315,0.4969883874700389,0.5907894736842105,0.4789473684210526,0.8193430656934306,0.2263681592039801,0.6865443425076453,0.30743243243243246,0.4969883874700389,0.5348684210526315,0.5228556124487054,[8],[14],['FW'],['FP'],3
0,SVM,0.3813868613138686,0.5166535277887269,0.514213385813527,0.3794008879445987,0.22305764411027568,0.8053691275167785,0.7542372881355932,0.27906976744186046,0.344294003868472,0.41450777202072536,0.3794008879445987,0.514213385813527,0.5166535277887269,[8],[16],['FW'],['FP'],3
